"ActivityDT","ClinicalEvent","SourceHost","SourceDatabase","SourceTable"
"01/05/2012",275,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/05/2013",709,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/05/2014",774,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/05/2015",706,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/05/2016",247,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/05/2017",298,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/05/2018",753,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/06/1992",2,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/06/1993",0,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/06/1994",0,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/06/1995",0,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/06/1996",0,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/06/1997",159,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/06/1998",495,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/06/1999",543,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/06/2000",464,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/06/2001",441,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/06/2002",236,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/06/2003",192,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/06/2004",574,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/06/2005",614,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/06/2006",594,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/06/2007",601,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
"01/06/2008",265,"oxnetdwp01.oxnet.nhs.uk","EPDS_PSS2","EPISODE_INDEX"
