"ActivityDT","ActivityCount","SourceHost","SourceDatabase","SourceTable"
"02/08/1997",1874,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/08/1998",1506,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/08/1999",2789,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/08/2000",1706,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/08/2001",4875,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/08/2002",4073,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/08/2003",1228,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/08/2004",4798,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/09/1993",3666,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/09/1994",5825,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/09/1995",1319,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/09/1996",6310,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/09/1997",6242,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/09/1998",6428,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/09/1999",2893,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/09/2000",405,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/09/2001",953,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/09/2002",4689,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/09/2003",5394,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/09/2004",4780,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
